id,title,title_en,status,status_en,days_left,value,value_usd,value_myr,url,deadline,category,region
KZ-2025-6428-001,Консультационные услуги по IT,IT consulting services,Опубликован,Published,до 9 дней,1 201 926 ₸,"2,223.56 USD","9,423.10 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-6428-001)/advert),2025-09-13T11:00:58.198982,CONSTRUCTION,Алматы
KZ-2025-6951-002,Консультации по финансовым вопросам (партия 2),Consultations on financial issues (party 2),Прием заявок,Acceptance of applications,до 40 дней,24 841 027 ₸,"45,955.90 USD","194,753.65 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-6951-002)/advert),2025-10-14T11:01:00.835308,CONSTRUCTION,Алматы
KZ-2025-7785-003,Закупка автомобилей служебного назначения,Purchase of official vehicles,Активный,Active,до 27 дней,25 362 528 ₸,"46,920.68 USD","198,842.22 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-7785-003)/advert),2025-10-01T11:01:02.892761,IT_SERVICES,Алматы
KZ-2025-1321-004,Разработка программного обеспечения,Development of software,Опубликован,Published,до 33 дней,9 816 908 ₸,"18,161.28 USD","76,964.56 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-1321-004)/advert),2025-10-07T11:01:04.172751,SUPPLIES,Караганда
KZ-2025-9772-005,Разработка программного обеспечения,Development of software,На рассмотрении,On consideration,до 12 дней,9 830 611 ₸,"18,186.63 USD","77,071.99 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-9772-005)/advert),2025-09-16T11:01:05.253882,SUPPLIES,Караганда
KZ-2025-6619-006,Разработка программного обеспечения (партия 4),Software development (party 4),Активный,Active,до 26 дней,50 487 677 ₸,"93,402.20 USD","395,823.39 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-6619-006)/advert),2025-09-30T11:01:05.971301,CONSULTING,Астана
KZ-2025-3872-007,Поставка продуктов питания,Delivery of food,На рассмотрении,On consideration,до 31 дней,25 134 410 ₸,"46,498.66 USD","197,053.77 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-3872-007)/advert),2025-10-05T11:01:07.110770,SUPPLIES,Алматы
KZ-2025-3927-008,Услуги по уборке территории,Territory cleaning services,Прием заявок,Acceptance of applications,до 19 дней,10 147 321 ₸,"18,772.54 USD","79,555.00 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-3927-008)/advert),2025-09-23T11:01:09.051199,CONSTRUCTION,Астана
KZ-2025-7566-009,Закупка электрического оборудования (партия 1),Purchase of electrical equipment (party 1),На рассмотрении,On consideration,до 23 дней,2 551 337 ₸,"4,719.97 USD","20,002.48 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-7566-009)/advert),2025-09-27T11:01:09.996157,IT_SERVICES,Караганда
KZ-2025-6416-010,Закупка автомобилей служебного назначения,Purchase of official vehicles,Ожидание подачи заявок,Waiting for filing applications,до 34 дней,49 880 756 ₸,"92,279.40 USD","391,065.13 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-6416-010)/advert),2025-10-08T11:01:12.169862,MAINTENANCE,Алматы
KZ-2025-9100-011,Консультации по финансовым вопросам,Consultations on financial issues,Опубликован,Published,до 5 дней,49 854 823 ₸,"92,231.42 USD","390,861.81 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-9100-011)/advert),2025-09-09T11:01:13.971920,SUPPLIES,Караганда
KZ-2025-1912-012,Консультационные услуги по IT (партия 4),IT consulting services (party 4),Активный,Active,до 36 дней,10 143 772 ₸,"18,765.98 USD","79,527.17 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-1912-012)/advert),2025-10-10T11:01:16.166147,CONSTRUCTION,Астана
KZ-2025-8721-013,Услуги по охране объектов (партия 2),Object protection services (party 2),На рассмотрении,On consideration,до 19 дней,24 999 627 ₸,"46,249.31 USD","195,997.08 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-8721-013)/advert),2025-09-23T11:01:17.468562,CONSULTING,Алматы
KZ-2025-6321-014,Закупка компьютерного оборудования для офиса (партия 5),Purchase of computer equipment for the office (party 5),Активный,Active,до 22 дней,1 070 260 ₸,"1,979.98 USD","8,390.84 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-6321-014)/advert),2025-09-26T11:01:18.740363,CONSTRUCTION,Астана
KZ-2025-5338-015,Строительство дорожного покрытия,Construction of road surface,Ожидание подачи заявок,Waiting for filing applications,до 37 дней,2 895 354 ₸,"5,356.40 USD","22,699.58 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-5338-015)/advert),2025-10-11T11:01:19.963594,IT_SERVICES,Астана
KZ-2025-5756-016,Консультации по финансовым вопросам,Consultations on financial issues,Ожидание подачи заявок,Waiting for filing applications,до 7 дней,10 496 769 ₸,"19,419.02 USD","82,294.67 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-5756-016)/advert),2025-09-11T11:01:21.270245,SUPPLIES,Алматы
KZ-2025-1992-017,Услуги по уборке территории (партия 1),Territory cleaning services (party 1),Прием заявок,Acceptance of applications,до 32 дней,5 428 850 ₸,"10,043.37 USD","42,562.18 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-1992-017)/advert),2025-10-06T11:01:22.033062,CONSTRUCTION,Шымкент
KZ-2025-9352-018,Закупка автомобилей служебного назначения,Purchase of official vehicles,Прием заявок,Acceptance of applications,до 23 дней,10 160 485 ₸,"18,796.90 USD","79,658.20 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-9352-018)/advert),2025-09-27T11:01:22.361397,IT_SERVICES,Алматы
KZ-2025-3796-019,Строительство дорожного покрытия,Construction of road surface,Опубликован,Published,до 11 дней,935 563 ₸,"1,730.79 USD","7,334.81 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-3796-019)/advert),2025-09-15T11:01:23.572462,MAINTENANCE,Актобе
KZ-2025-8590-020,Услуги по охране объектов,Object protection services,Активный,Active,до 12 дней,10 030 296 ₸,"18,556.05 USD","78,637.52 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-8590-020)/advert),2025-09-16T11:01:23.970264,MAINTENANCE,Караганда
KZ-2025-7572-021,Поставка продуктов питания,Delivery of food,Ожидание подачи заявок,Waiting for filing applications,до 36 дней,49 976 416 ₸,"92,456.37 USD","391,815.10 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-7572-021)/advert),2025-10-10T11:01:24.341803,CONSULTING,Караганда
KZ-2025-1731-022,Строительство дорожного покрытия,Construction of road surface,Прием заявок,Acceptance of applications,до 39 дней,50 274 945 ₸,"93,008.65 USD","394,155.57 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-1731-022)/advert),2025-10-13T11:01:24.608664,IT_SERVICES,Актобе
KZ-2025-8593-023,Закупка автомобилей служебного назначения (партия 4),Purchase of service cars (party 4),Опубликован,Published,до 21 дней,49 945 141 ₸,"92,398.51 USD","391,569.91 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-8593-023)/advert),2025-09-25T11:01:25.868035,CONSULTING,Шымкент
KZ-2025-1344-024,Консультации по финансовым вопросам,Consultations on financial issues,На рассмотрении,On consideration,до 16 дней,1 495 166 ₸,"2,766.06 USD","11,722.10 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-1344-024)/advert),2025-09-20T11:01:26.475698,SUPPLIES,Алматы
KZ-2025-6519-025,Разработка программного обеспечения,Development of software,Опубликован,Published,до 8 дней,2 831 607 ₸,"5,238.47 USD","22,199.80 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-6519-025)/advert),2025-09-12T11:01:26.742250,MAINTENANCE,Шымкент
KZ-2025-8164-026,Закупка автомобилей служебного назначения (партия 3),Purchase of service cars (party 3),Ожидание подачи заявок,Waiting for filing applications,до 13 дней,49 943 921 ₸,"92,396.25 USD","391,560.34 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-8164-026)/advert),2025-09-17T11:01:27.801233,IT_SERVICES,Астана
KZ-2025-2941-027,Поставка мебели для учреждений,Furniture supply for institutions,Опубликован,Published,до 35 дней,440 103 ₸,814.19 USD,"3,450.41 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-2941-027)/advert),2025-10-09T11:01:28.450198,CONSULTING,Шымкент
KZ-2025-8505-028,Услуги по уборке территории,Territory cleaning services,На рассмотрении,On consideration,до 13 дней,50 493 866 ₸,"93,413.65 USD","395,871.91 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-8505-028)/advert),2025-09-17T11:01:29.581450,CONSTRUCTION,Астана
KZ-2025-5755-029,Консультационные услуги по IT,IT consulting services,Ожидание подачи заявок,Waiting for filing applications,до 31 дней,738 806 ₸,"1,366.79 USD","5,792.24 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-5755-029)/advert),2025-10-05T11:01:30.452747,CONSTRUCTION,Алматы
KZ-2025-1094-030,Строительство жилых домов (партия 4),Construction of residential buildings (party 4),Активный,Active,до 20 дней,649 197 ₸,"1,201.01 USD","5,089.70 MYR",https://zakup.sk.kz/#/ext(popup:item/KZ-2025-1094-030)/advert),2025-09-24T11:01:31.736463,CONSULTING,Актобе
